Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.939209,0.63916,-0.715088,135.742187,-295.227051,-307.067871
0.897705,0.48291,-0.405273,171.081528,-350.952118,-242.12645
1.223877,0.652588,-0.166382,167.175278,-267.028809,-168.701157
1.295532,0.676514,-0.12561,158.203125,-178.161606,-136.474609
1.131714,0.490479,-0.235962,155.090332,-175.903305,-131.591797
0.901611,0.361694,-0.090576,114.19677,-143.310547,-138.916016
0.650146,0.140747,0.073975,50.048824,-76.721191,-144.897461
0.56604,-0.166992,0.0354,-21.057127,-45.349117,-118.34716
0.646362,-0.04834,0.329224,-75.622559,-46.56982,-105.895988
0.684204,0.037598,0.489746,-91.491692,39.0625,-126.403801
0.741455,0.058594,0.466675,-94.116203,132.385254,-142.39502
0.639771,-0.009521,0.474243,-108.764641,196.105942,-136.59668
0.613647,-0.121094,0.290161,-67.687988,191.101059,-107.360832
0.814941,-0.182251,-0.165527,6.958007,81.665031,-55.053707
0.887207,-0.335083,-0.567017,62.19482,-68.17627,-13.549804
1.097778,-0.335205,-1.182617,-38.696289,-283.447266,3.479004
0.654419,-0.692017,-0.783691,-155.029297,-476.68454,23.010252
-0.672974,-0.862061,-0.468872,-65.673828,-602.111816,101.684563
-1.040161,-0.578979,-0.07605,104.309074,-600.097656,179.199203
-0.340332,-0.05835,1,77.575684,-386.474579,154.47998
0.127075,0.266968,1.389404,-173.889145,-171.508774,159.179687
0.181763,0.774536,1.586426,-179.931625,-160.15625,117.492668
0.046021,1.031128,3.296509,-46.203609,-44.677731,58.898922
0.20874,1.183594,3.727173,79.956055,293.762207,41.015621
0.349365,1.473267,2.788818,149.230957,588.439941,-26.30615
-0.027832,1.114136,1.284546,136.413574,694.946228,-80.200195
-0.466553,-0.049805,-1.24646,78.430176,752.075134,-138.305664
0.72522,-1.40564,-3.750244,266.296387,329.528778,-26.916502
1.031494,-0.892212,-2.409668,253.295883,-405.700653,91.674797
0.133545,0.344482,0.010742,-29.296873,-817.321716,18.554687
-0.080933,0.586182,1.610718,-170.04393,-729.736267,-84.777824
-0.44751,0.288574,1.987671,-169.860825,-362.548798,-124.633781
-0.598389,0.312378,2.501587,-95.336906,-56.091305,-93.01757
0.008667,0.700562,2.487305,9.216309,218.505844,-39.733887
0.605103,0.762695,1.745605,119.018547,445.373505,-32.775879
0.361206,0.350342,0.827637,137.145996,569.030762,-67.993164
0.128662,-0.231079,-0.435425,87.280266,580.13916,-45.898434
0.86731,-0.517334,-1.432861,102.416985,366.394012,54.992672
1.645874,-0.846436,-2.359985,103.881828,37.536621,118.774406
1.260498,-0.33728,-1.349854,66.223145,-320.556641,132.873535
0.50293,0.180542,0.05188,-109.069817,-458.618134,34.667969
0.102051,0.424805,1.230591,-185.974106,-391.967743,-42.785641
-0.223145,0.469727,2.250244,-161.437973,-251.159653,-63.903805
-0.039063,0.760376,2.811157,-69.091797,-72.387695,-2.624511
0.734741,0.997681,2.338013,34.973145,131.774902,41.015621
0.866577,0.768799,1.504395,101.745598,224.426254,5.615234
0.512939,0.250854,0.548706,131.103516,260.864258,-20.568846
0.83374,-0.560059,-1.384399,114.135735,253.601059,-0.427246
1.306885,-1.008667,-2.281128,75.561523,30.2124,57.006832
1.138672,-0.505615,-1.428101,-22.888182,-215.515121,70.43457
0.776978,0.288208,0.071899,-134.399414,-324.218719,9.58252
0.213379,0.721558,1.47998,-186.950668,-306.762695,-77.697754
-0.14978,0.94043,2.874756,-131.652832,-224.73143,-112.609856
0.112549,1.064575,3.383667,13.610839,-1.953125,-80.322258
0.456299,0.824341,2.128784,138.48877,289.123535,-20.874022
0.423828,0.271606,0.226807,171.081528,427.001923,27.9541
0.542358,-0.193848,-0.898315,136.657715,325.378387,63.415524
1.102783,-1.009277,-2.5979,73.913574,10.498046,106.689445
1.200928,-0.722412,-2.165161,-83.496086,-254.821762,40.588375
0.847412,0.158325,-0.531494,-199.645981,-334.411591,-45.715328
0.269165,0.885864,1.406372,-203.674301,-329.589813,-132.751465
-0.539551,0.959595,3.377686,-56.823727,-210.082993,-112.060539
-0.068481,1.067261,3.888794,122.558586,156.066895,-14.160155
0.736694,0.914429,2.126465,170.898422,440.551727,29.052732
0.490601,0.401855,0.429321,151.550293,410.217255,8.544922
0.363159,-0.329834,-0.765991,148.803711,248.657211,75.744629
1.137573,-0.730591,-2.379517,115.112297,28.930662,102.416985
1.461548,-0.671875,-2.56958,-9.94873,-245.483383,32.592773
